CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_BUSINESS_DBA;EMPLOYER_ADDRESS;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_REPRESENTING_EMPLOYER;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAICS_CODE;TOTAL_WORKERS;NEW_EMPLOYMENT;CONTINUED_EMPLOYMENT;CHANGE_PREVIOUS_EMPLOYMENT;NEW_CONCURRENT_EMPLOYMENT;CHANGE_EMPLOYER;AMENDED_PETITION;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_SOURCE;PW_SOURCE_YEAR;PW_SOURCE_OTHER;WAGE_RATE_OF_PAY_FROM;WAGE_RATE_OF_PAY_TO;WAGE_UNIT_OF_PAY;H1B_DEPENDENT;WILLFUL_VIOLATOR;SUPPORT_H1B;LABOR_CON_AGREE;PUBLIC_DISCLOSURE_LOCATION;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;ORIGINAL_CERT_DATE
I-200-17179-544998;CERTIFIED-WITHDRAWN;42914.0;42922.0;H-1B;42914.0;44009.0;HEXAWARE TECHNOLOGIES, INC.;;101 WOOD AVENUE SOUTH;ISELIN;NJ;08830;;;;;;,;;;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;82534.0;Year;;OES;2016;OFLC ONLINE DATA CENTER;82600.0;0.0;Year;Y;N;Y;;;MCLEAN;FAIRFAX;VA;22102;42921.0
I-200-17076-218988;CERTIFIED;42811.0;42817.0;H-1B;42821.0;43916.0;BULLHORN, INC.;;100 SUMMER STREET;BOSTON;MA;02110;UNITED STATES OF AMERICA;;6174789130;;Y;MCNAMARA, KEVIN;BOSTON;MA;SENIOR SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;511210;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;88067.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;111000.0;0.0;Year;N;N;NA;Y;;BOSTON;SUFFOLK;MA;02110;
I-200-17068-017605;CERTIFIED;42804.0;42810.0;H-1B;42986.0;44081.0;FUJIFILM DIMATIX, INC.;;2250 MARTIN AVENUE;SANTA CLARA;CA;95050;UNITED STATES OF AMERICA;;4085657483;;Y;STOCK, ALICE;NEW YORK;NY;MANUFACTURING ENGINEER II;17-2112;INDUSTRIAL ENGINEERS;323115;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;78125.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;84871.91;0.0;Year;N;N;NA;;;LEBANON;GRAFTON;NH;03766;
I-200-17160-057374;CERTIFIED;42895.0;42901.0;H-1B;42995.0;44091.0;TURNINGPOINT GLOBAL SOLUTIONS LLC;;2273 RESEARCH BLVD;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;;3017951655;;Y;MEHROTRA, RAKESH;RESTON;VA;SOFTWARE ENGINEER;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;54114;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;74672.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;94500.0;0.0;Year;N;N;NA;;;ROCKVILLE;MONTGOMERY;MD;20850;
I-200-16356-123780;CERTIFIED-WITHDRAWN;42725.0;42747.0;H-1B;42726.0;43811.0;CAPGEMINI AMERICA INC;N/A;333 WEST WACKER DRIVE;CHICAGO;IL;60606;UNITED STATES OF AMERICA;N/A;3123955000;;N;,;;;SOFTWARE ENGINEER 3;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;5416;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;106059.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;106059.0;0.0;Year;Y;N;Y;Y;;STAMFORD;FAIRFIELD;CT;06905;42732.0
I-200-17020-689759;CERTIFIED;42755.0;42761.0;H-1B;42826.0;43921.0;SYNTEL CONSULTING INC.;N/A;525 EAST BIG BEAVER ROAD;TROY;MI;48083;UNITED STATES OF AMERICA;N/A;2486193580;;N;,;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;57533.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;67000.0;0.0;Year;Y;N;Y;Y;;WOODLAND HILLS;LOS ANGELES;CA;91367;
I-200-15132-248055;CERTIFIED-WITHDRAWN;42136.0;42908.0;H-1B;42136.0;43231.0;KRONSYS, INC.;;6512 SIX FORKS ROAD, SUITE #304A;RALEIGH;NC;27615;UNITED STATES OF AMERICA;WAKE COUNTY;9196101172;;Y;KAMAT, LEENA;FREMONT;CA;JAVA DEVELOPER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;50378.0;Year;Level I;Other;2015;OFLC ONLINE DATA CENTER;65936.0;112819.0;Year;Y;N;Y;;;SANTA FE;SANTA FE;NM;87501;42142.0
I-200-17087-967882;CERTIFIED;42822.0;42828.0;H-1B;43005.0;44101.0;THE SINGER GROUP, INC.;N/A;1951 OLD CUTHBERT ROAD;CHERRY HILL;NJ;08034;UNITED STATES OF AMERICA;N/A;8564897380;;Y;GUPTA, S.K.;ISELIN;NJ;GRAPHIC DESIGNER;27-1024;GRAPHIC DESIGNERS;541430;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;38917.0;Year;Level I;Other;2016;OFLC ONLINE DATA CENTER;45000.0;0.0;Year;N;N;NA;Y;;NEW YORK;NEW YORK;NY;10001;
I-200-17073-845943;CERTIFIED;42812.0;42817.0;H-1B;42812.0;43907.0;HCL AMERICA, INC.;N/A;330 POTRERO AVENUE;SUNNYVALE;CA;94085;UNITED STATES OF AMERICA;N/A;4087330480;;Y;ANNICELLI, SAPNA;BOSTON;MA;SYSTEM ARCHITECT - III;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;20.0;5.0;5.0;0.0;0.0;5.0;5.0;Y;109928.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;109928.0;0.0;Year;Y;N;Y;;;CHEVY CHASE;MONTGOMERY;MD;20815;
I-200-17034-617883;CERTIFIED;42769.0;42775.0;H-1B;42814.0;43907.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;PROJECT MANAGER - US - PRACTITIONER;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;94245.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;94245.0;0.0;Year;Y;N;Y;;;CHARLOTTE;MECKLENBURG;NC;28255;
